IId sex Anho Population d_fibra p_vellongras peso_vivo
merino14636 M 2020 Espinar 20 0.06 0
merino14637 F 2020 Espinar 20 0 43.4
merino14638 M 2020 Espinar 22.6 3.26 46
merino14639 F 2020 Espinar 21.9 2.96 45.5
merino14640 M 2020 Espinar 21.3 6.16 46.3
merino14641 F 2020 Espinar 21.2 1.76 46.2
merino14642 M 2020 Espinar 20.6 3.16 45.2
merino14643 F 2020 Espinar 18.9 2.66 45.8
merino14644 M 2020 Espinar 22.8 3.36 47
merino14645 F 2020 Espinar 0 0 44.5
merino14646 M 2020 Espinar 19 5.06 43.4
merino14647 F 2020 Espinar 19.6 1.36 42.4
merino14648 M 2020 Espinar 21.7 3.96 45.9
merino14649 F 2020 Espinar 19.7 2.36 45.4
merino14650 M 2020 Espinar 21.4 0 45.4
merino14651 F 2020 Espinar 21.2 1.06 0
merino14652 M 2020 Espinar 21.3 3.76 46.6
merino14653 F 2020 Espinar 21.4 3.36 44
merino14654 M 2020 Espinar 21.5 0 43.5
merino14655 F 2020 Espinar 21.2 2.36 43.9
merino14656 M 2020 Espinar 19.6 0 44.7
merino14657 F 2020 Espinar 21.8 0 45.4
merino14658 M 2020 Espinar 20.4 0.46 44.6
merino14659 F 2020 Espinar 20.5 0.16 0
merino14660 M 2020 Espinar 20.8 3.36 44.7
merino14661 F 2020 Espinar 22.2 0.56 44.7
merino14662 M 2020 Espinar 0 3.56 0
merino14663 F 2020 Espinar 0 0.66 42.6
merino14664 M 2020 Espinar 21 1.46 0
merino14665 F 2020 Espinar 20.6 1.46 46.4
merino14666 M 2020 Espinar 20.6 1.36 44.2
merino14667 F 2020 Espinar 20.6 2.26 45.2
merino14668 M 2020 Espinar 20.1 3.66 45.9
merino14669 F 2020 Espinar 0 1.76 44.2
merino14670 M 2020 Espinar 20.8 0 45.4
merino14671 F 2020 Espinar 20.9 0.46 45.7
merino14672 M 2020 Espinar 0 2.16 44.1
merino14673 F 2020 Espinar 20.2 1.96 44.5
merino14674 M 2020 Espinar 21.1 0 43.3
merino14675 F 2020 Espinar 21.7 0 44
merino14676 M 2020 Espinar 20.4 0.96 44
merino14677 F 2020 Espinar 0 0 47.3
merino14678 M 2020 Espinar 22.6 1.76 0
merino14679 F 2020 Espinar 21.5 0.46 45.4
merino14680 M 2020 Espinar 20.3 1.56 44.9
merino14681 F 2020 Espinar 18.1 0 46.6
