IId FId MId
merino12636 merino10904 merino10659
merino12637 merino10904 0
merino12638 merino10972 merino10721
merino12639 merino10972 merino10721
merino12640 0 merino10877
merino12641 merino10782 merino10877
merino12642 merino11008 merino10867
merino12643 0 merino10867
merino12644 merino10994 merino10733
merino12645 merino10994 merino10733
merino12646 merino10972 merino10853
merino12647 merino10972 merino10853
merino12648 0 merino11023
merino12649 merino10782 merino11023
merino12650 merino11008 merino10809
merino12651 merino11008 merino10809
merino12652 merino10994 merino10701
merino12653 merino10994 merino10701
merino12654 0 merino10979
merino12655 0 merino10979
merino12656 merino10782 merino10815
merino12657 0 merino10815
merino12658 merino11008 merino10875
merino12659 0 merino10875
merino12660 merino10994 merino10683
merino12661 merino10994 merino10683
merino12662 0 merino10931
merino12663 0 merino10931
merino12664 0 merino10759
merino12665 merino10972 merino10759
merino12666 0 merino10697
merino12667 0 merino10697
merino12668 merino10994 merino10859
merino12669 0 merino10859
merino12670 0 0
merino12671 merino10904 merino10937
merino12672 merino10972 merino10935
merino12673 merino10972 merino10935
merino12674 0 0
merino12675 merino10782 merino10667
merino12676 merino10994 0
merino12677 merino10994 merino10833
merino12678 merino10904 merino10737
merino12679 merino10904 0
merino12680 merino10972 merino10891
merino12681 0 merino10891
merino12682 merino10782 merino10719
merino12683 merino10782 merino10719
merino12684 0 merino10903
merino12685 0 merino10903
merino12686 merino10904 merino10837
merino12687 merino10904 merino10837
merino12688 merino10972 merino10817
merino12689 merino10972 merino10817
merino12690 merino10782 merino10947
merino12691 merino10782 merino10947
merino12692 merino11008 merino11011
merino12693 0 merino11011
merino12694 merino10994 merino10823
merino12695 0 merino10823
merino12696 merino10972 merino10651
merino12697 merino10972 merino10651
merino12698 0 merino10981
merino12699 merino10782 0
merino12700 0 merino10907
merino12701 merino11008 merino10907
merino12702 merino10994 merino10813
merino12703 merino10994 merino10813
merino12704 0 merino10741
merino12705 merino10904 merino10741
merino12706 0 merino10865
merino12707 0 merino10865
merino12708 merino11008 merino10655
merino12709 merino11008 merino10655
merino12710 0 merino10885
merino12711 merino10994 merino10885
merino12712 merino10904 merino10699
merino12713 merino10904 merino10699
merino12714 merino10972 merino10857
merino12715 merino10972 merino10857
merino12716 merino11008 merino10805
merino12717 merino11008 merino10805
merino12718 merino10994 merino10933
merino12719 merino10994 merino10933
merino12720 merino10904 merino10975
merino12721 0 merino10975
merino12722 merino10972 merino10715
merino12723 0 merino10715
merino12724 0 merino10675
merino12725 merino10782 merino10675
merino12726 merino10994 merino10747
merino12727 merino10994 merino10747
merino12728 merino10904 merino10677
merino12729 merino10904 merino10677
merino12730 merino10972 merino10691
merino12731 0 merino10691
merino12732 0 merino10789
merino12733 merino10782 merino10789
merino12734 merino11008 merino11017
merino12735 merino11008 merino11017
merino12736 merino10904 merino10949
merino12737 0 merino10949
merino12738 merino10972 merino10951
merino12739 0 merino10951
merino12740 0 merino10889
merino12741 merino10782 merino10889
merino12742 merino11008 merino11009
merino12743 0 merino11009
merino12744 merino10994 merino10739
merino12745 merino10994 merino10739
merino12746 merino10972 merino10767
merino12747 merino10972 merino10767
merino12748 merino10782 merino10711
merino12749 merino10782 merino10711
merino12750 merino11008 merino10835
merino12751 merino11008 merino10835
merino12752 merino10994 merino10825
merino12753 merino10994 merino10825
merino12754 0 merino10993
merino12755 0 merino10993
merino12756 0 merino10863
merino12757 merino10782 merino10863
merino12758 merino11008 merino10969
merino12759 merino11008 merino10969
merino12760 merino10994 merino10929
merino12761 0 merino10929
merino12762 0 merino10753
merino12763 merino10904 merino10753
merino12764 merino10972 merino10881
merino12765 merino10972 merino10881
merino12766 merino11008 merino11029
merino12767 0 0
merino12768 merino10994 0
merino12769 merino10994 merino10775
merino12770 merino10904 merino11013
merino12771 merino10904 merino11013
merino12772 merino10972 merino10925
merino12773 merino10972 0
merino12774 0 merino11021
merino12775 merino10782 merino11021
merino12776 0 merino10989
merino12777 merino10994 merino10989
merino12778 merino10904 merino11035
merino12779 0 merino11035
merino12780 merino10972 merino10671
merino12781 merino10972 merino10671
merino12782 merino10782 merino10991
merino12783 merino10782 merino10991
merino12784 merino11008 merino10909
merino12785 0 merino10909
merino12786 merino10904 merino10649
merino12787 merino10904 merino10649
merino12788 merino10972 merino10663
merino12789 merino10972 merino10663
merino12790 merino10782 merino10803
merino12791 merino10782 merino10803
merino12792 merino11008 merino10669
merino12793 0 merino10669
merino12794 merino10994 merino10911
merino12795 merino10994 merino10911
merino12796 merino10972 merino10945
merino12797 merino10972 merino10945
merino12798 merino10782 merino10723
merino12799 0 merino10723
merino12800 merino11008 merino10959
merino12801 merino11008 merino10959
merino12802 merino10994 merino11001
merino12803 0 merino11001
merino12804 0 merino10703
merino12805 0 merino10703
merino12806 merino10782 merino10955
merino12807 0 merino10955
merino12808 0 merino10905
merino12809 merino11008 merino10905
merino12810 merino10994 merino10705
merino12811 0 0
merino12812 merino10904 merino10961
merino12813 merino10904 0
merino12814 merino10972 merino10639
merino12815 0 merino10639
merino12816 merino11008 merino10727
merino12817 merino11008 merino10727
merino12818 0 merino10785
merino12819 merino10994 merino10785
merino12820 0 merino10973
